Epoch,Loss,Accuracy,Precision,Recall,F1-Score
1,0.1979976341759158,0.9633431085043989,0.9520159832742265,0.964341629867523,0.9578090395060812
2,0.1484385219857443,0.9706744868035191,0.9620208815079532,0.9694075769132977,0.9655972558514931
3,0.25387433519164576,0.9545454545454546,0.9499937868606441,0.9490708943833943,0.949529600213894
4,0.1913189292184164,0.966275659824047,0.9578058861610477,0.9637409200968523,0.9606941051180856
5,0.1673470785486685,0.9706744868035191,0.9643795734536964,0.9687761965344142,0.9665295786260442
6,0.2527833417326017,0.9589442815249267,0.9496611623625129,0.9578527890381916,0.9535716022368101
7,0.17309273351633617,0.9706744868035191,0.9656211010605116,0.9677732079905993,0.966685229148959
8,0.24409456952572475,0.9589442815249267,0.9487480094180174,0.9574722374383746,0.952917739183605
9,0.19514388022646526,0.9648093841642229,0.9586068765995327,0.9586068765995327,0.9586068765995327
10,0.19311369579761875,0.9633431085043989,0.9531547233703501,0.9614877474845829,0.9571654318754507
11,0.3118141172210101,0.9413489736070382,0.9281385281385282,0.9367322360497792,0.9322444762358926
12,0.1731621399630121,0.966275659824047,0.9586632879315806,0.9657673112913288,0.9620740095987621
13,0.2522661155157419,0.9530791788856305,0.9381305711866939,0.9524049487335068,0.9448091687993769
14,0.18150375232095073,0.966275659824047,0.9576531160545932,0.9653870608806231,0.9613716677953581
15,0.2176492791947757,0.9589442815249267,0.948528237079639,0.9556252028562155,0.9519626487960475
